Match_addr,Postal,PostalExt,Country,X,Y,Pop 1 mile,Particulate Matter (PM 2.5 in ug/m3),Ozone (ppb),NATA Diesel PM (ug/m3),NATA Air Toxics Cancer Risk (risk per MM),NATA Respiratory Hazard Index,Traffic Proximity and Volume (daily traffic count/distance to road),Lead Paint Indicator (% pre-1960s housing),Superfund Proximity (site count/km distance),RMP Proximity (facility count/km distance),Hazardous Waste Proximity (facility count/km distance),Wastewater Discharge Indicators (toxicity-weighted concentration/m distance),Demographic Index,all3,dem index ,Minority Population,Minority Population*,Low Income Population,Low Income*,lowincomebincorrected,Linguistically Isolated Population,Population with Less Than High School Education,Less Than High School Education*,Population under Age 5,Population over Age 64,>64* 0-under/at 1-above,DisplayX,DisplayY,sample_id,group_id
"118 Lisa Cove Ln, Henrico, North Carolina, 27842",27842,9333,USA,-77.85736913,36.52272903,438,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,0.28,0.00,0.00,0.23,0.00,0.33,0.00,0.00,0.00,0.11,0.00,0.00,0.46,1.00,-77.85736913,36.52272903,ES070815-0004,566000325EH
"3475 Galatia Rd, Margarettsville, North Carolina, 27853",27853,9641,USA,-77.2479419,36.51371026,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.248233,36.514701,ES061015-0021,566000325EH
"318 Vaughan Creek Rd, Pendleton, North Carolina, 27862",27862,7051,USA,-77.17710379,36.51996761,192,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.177241,36.519705,ES061015-0005,566000325EH
"4285 Mount Carmel Rd, Jackson, North Carolina, 27845",27845,9691,USA,-77.3976735,36.419688,77,7.54,39.1,0.164,29,0.37,5.7,0.069,0.012,0.14,0.12,0,0.47,3.00,0.00,0.48,1.00,0.47,1.00,1.00,0.00,0.05,0.00,0.14,0.10,0.00,-77.3976735,36.419688,ES071516-0008,566000325EH
"9495 NC-305, Jackson, North Carolina, 27845",27845,9679,USA,-77.43567203,36.41259321,127,7.75,39.4,0.183,30,0.4,52,0.42,0.011,0.06,0.058,0,0.39,7.00,1.00,0.41,1.00,0.36,1.00,0.00,0.00,0.26,1.00,0.02,0.52,1.00,-77.43567203,36.41259321,ES072015-0001,566000325EH
"210 Cleveland Dr, Garysburg, North Carolina, 27831",27831,9437,USA,-77.61812147,36.50831391,505,7.89,39.4,0.19,32,0.44,65,0.13,0.011,0.23,0.13,0.0017,0.63,7.00,1.00,0.72,1.00,0.55,1.00,1.00,0.00,0.34,1.00,0.03,0.22,1.00,-77.61812147,36.50831391,ES051215-0002,566000325EH
"1428 Barrett Cabin Rd, Murfreesboro, North Carolina, 27855",27855,9379,USA,-77.13319117,36.47232389,56,7.48,39.1,0.158,28,0.37,1.9,0.36,0.014,0.17,0.15,7.30E-06,0.48,7.00,1.00,0.50,1.00,0.45,1.00,1.00,0.01,0.27,1.00,0.06,0.17,1.00,-77.132817,36.472257,ES050615-0054,566000325EH
"459 Vaughan Creek Rd, Pendleton, North Carolina, 27862",27862,7061,USA,-77.17219076,36.51928565,167,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.172174,36.519705,ES061015-0022,566000325EH
"490 Blythe Rd, Garysburg, North Carolina, 27831",27831,9570,USA,-77.59637049,36.48575668,173,7.87,39.4,0.189,32,0.43,71,0.14,0.011,0.22,0.13,0.0018,0.67,7.00,1.00,0.75,1.00,0.59,1.00,1.00,0.00,0.33,1.00,0.04,0.23,1.00,-77.59637049,36.48575668,ES042215-0006,566000325EH
"399 Willey Ln, Gaston, North Carolina, 27832",27832,9690,USA,-77.680964,36.490428,140,7.89,39.4,0.191,32,0.44,93,0.24,0.012,0.34,0.13,0.02,0.44,7.00,1.00,0.48,1.00,0.40,1.00,1.00,0.00,0.28,1.00,0.01,0.28,1.00,-77.6806335,36.490428,ES040915-0007,566000325EH
"551 Stephenson Rd, Pendleton, North Carolina, 27862",27862,7209,USA,-77.29014732,36.48932304,26,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,0.32,5.00,0.00,0.47,1.00,0.16,0.00,0.00,0.00,0.19,1.00,0.01,0.21,1.00,-77.2903215,36.489114,ES042215-0015,566000325EH
"279 Vaughan Creek Rd, Pendleton, North Carolina, 27862",27862,7054,USA,-77.1778261,36.52067004,192,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.1772185,36.521325,ES050115-0007,566000325EH
"2534 Barrows Mill Rd, Jackson, North Carolina, 27845",27845,9537,USA,-77.5089125,36.37225053,26,7.75,39.4,0.183,30,0.4,98,0.18,0.011,0.24,0.21,0.027,0.65,5.00,0.00,0.97,1.00,0.33,0.00,0.00,0.00,0.22,1.00,0.00,0.38,1.00,-77.508927,36.372447,ES042415-0006,566000325EH
"3747 Severn Rd, Margarettsville, North Carolina, 27853",27853,9697,USA,-77.20731,36.524646,23,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.20731,36.524646,ES040215-0004,566000325EH
"186 Willis Hare Rd, Pendleton, North Carolina, 27862",27862,7030,USA,-77.19569873,36.47213891,43,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.195529,36.471465,ES032015-0023,566000325EH
"262 Old Tram Way, Gaston, North Carolina, 27832",27832,8002,USA,-77.78154162,36.50776387,77,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,0.46,7.00,1.00,0.50,1.00,0.42,1.00,1.00,0.00,0.30,1.00,0.01,0.28,1.00,-77.78154162,36.50776387,ES033115-0026,566000325EH
"410 Pin Hook Rd, Rich Square, North Carolina, 27869",27869,9656,USA,-77.29813419,36.34004927,97,7.46,39.3,0.147,29,0.37,0.083,0.21,0.012,0.098,0.098,0,0.45,7.00,1.00,0.51,1.00,0.39,1.00,1.00,0.00,0.15,1.00,0.05,0.21,1.00,-77.29813419,36.34004927,ES031215-0034,566000325EH
"320 Taylor Rd, Garysburg, North Carolina, 27831",27831,9541,USA,-77.52993886,36.44519121,85,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,0.89,7.00,1.00,0.95,1.00,0.83,1.00,1.00,0.00,0.30,1.00,0.10,0.25,1.00,-77.52993886,36.44519121,ES031115-0028,566000325EH
"10850 NC-305, Seaboard, North Carolina, 27876",27876,9534,USA,-77.43176632,36.44663848,138,7.75,39.4,0.183,30,0.4,31,0.37,0.011,0.06,0.059,3.60E-10,0.53,7.00,1.00,0.59,1.00,0.47,1.00,1.00,0.00,0.24,1.00,0.04,0.40,1.00,-77.43176632,36.44663848,ES020515-0037,566000325EH
"10850 NC-305, Seaboard, North Carolina, 27876",27876,9534,USA,-77.43176632,36.44663848,138,7.75,39.4,0.183,30,0.4,31,0.37,0.011,0.06,0.059,3.60E-10,0.53,7.00,1.00,0.59,1.00,0.47,1.00,1.00,0.00,0.24,1.00,0.04,0.40,1.00,-77.43176632,36.44663848,ES020515-0038,566000325EH
"1260 Barrett Cabin Rd, Murfreesboro, North Carolina, 27855",27855,9377,USA,-77.13495889,36.46777028,54,7.48,39.1,0.158,28,0.37,1.9,0.37,0.014,0.17,0.15,7.50E-06,0.48,7.00,1.00,0.51,1.00,0.45,1.00,1.00,0.01,0.27,1.00,0.06,0.17,1.00,-77.1347475,36.467622,ES012315-0005,566000325EH
"4285 Mount Carmel Rd, Jackson, North Carolina, 27845",27845,9691,USA,-77.3976735,36.419688,138,7.75,39.4,0.183,30,0.4,31,0.37,0.011,0.06,0.059,3.60E-10,0.53,7.00,1.00,0.59,1.00,0.47,1.00,1.00,0.00,0.24,1.00,0.04,0.40,1.00,-77.3976735,36.419688,ES121214-0005,566000325EH
"409 N Church St, Jackson, North Carolina, 27845",27845,9744,USA,-77.42264108,36.39325261,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,0.52,7.00,1.00,0.53,1.00,0.48,1.00,1.00,0.01,0.26,1.00,0.02,0.36,1.00,-77.42264108,36.39325261,ES012115-0006,566000325EH
"409 N Church St, Jackson, North Carolina, 27845",27845,9744,USA,-77.42264108,36.39325261,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,0.52,7.00,1.00,0.53,1.00,0.48,1.00,1.00,0.01,0.26,1.00,0.02,0.36,1.00,-77.42264108,36.39325261,ES123014-0007,566000325EH
"1326 Bethel Church Rd, Pleasant Hill, North Carolina, 27866",27866,9645,USA,-77.484861,36.507051,84,7.75,39.4,0.183,30,0.4,1.1,0.32,0.011,0.076,0.074,3.50E-07,0.61,7.00,1.00,0.73,1.00,0.49,1.00,1.00,0.00,0.17,1.00,0.03,0.21,1.00,-77.484861,36.507051,ES010915-0008,566000325EH
"557 N Shore Dr, Gaston, North Carolina, 27832",27832,9691,USA,-77.69665419,36.48978108,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,0.35,5.00,0.00,0.37,1.00,0.32,0.00,0.00,0.00,0.20,1.00,0.01,0.27,1.00,-77.69665419,36.48978108,ES111414-0005,566000325EH
"409 N Church St, Jackson, North Carolina, 27845",27845,9744,USA,-77.42264108,36.39325261,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,0.52,7.00,1.00,0.53,1.00,0.48,1.00,1.00,0.01,0.26,1.00,0.02,0.36,1.00,-77.42264108,36.39325261,ES120914-0010,566000325EH
"406 N Church St, Jackson, North Carolina, 27845",27845,9744,USA,-77.42251646,36.39329854,587,7.75,39.4,0.183,30,0.4,47,0.42,0.011,0.058,0.055,0.0049,0.52,7.00,1.00,0.53,1.00,0.48,1.00,1.00,0.01,0.26,1.00,0.02,0.36,1.00,-77.42251646,36.39329854,ES120914-0012,566000325EH
"557 N Shore Dr, Gaston, North Carolina, 27832",27832,9691,USA,-77.69665419,36.48978108,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,0.35,5.00,0.00,0.37,1.00,0.32,0.00,0.00,0.00,0.20,1.00,0.01,0.27,1.00,-77.69665419,36.48978108,ES111414-0009,566000325EH
"190 Jerry Chitty Ln, Pendleton, North Carolina, 27862",27862,7004,USA,-77.15534504,36.49752307,17,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,0.50,7.00,1.00,0.38,1.00,0.63,1.00,1.00,0.00,0.20,1.00,0.04,0.25,1.00,-77.1554385,36.497439,ES103014-0023,566000325EH
"557 N Shore Dr, Gaston, North Carolina, 27832",27832,9691,USA,-77.69665419,36.48978108,252,7.89,39.5,0.196,32,0.43,62,0.19,0.012,0.32,0.13,0.028,0.35,5.00,0.00,0.37,1.00,0.32,0.00,0.00,0.00,0.20,1.00,0.01,0.27,1.00,-77.69665419,36.48978108,ES103114-0027,566000325EH
"295 Post Office Rd, Henrico, North Carolina, 27842",27842,7508,USA,-77.82889361,36.54287729,42,7.88,39.4,0.149,30,0.4,1.1,0.18,0.013,0.055,0.044,0.0086,0.31,4.00,0.00,0.31,0.00,0.31,0.00,0.00,0.00,0.13,1.00,0.03,0.39,1.00,-77.82889361,36.54287729,ES101414-0027,566000325EH
"600 Ashleys Grove Rd, Conway, North Carolina, 27820",27820,9557,USA,-77.2184655,36.375165,74,7.53,39.1,0.163,28,0.37,8.9,0.48,0.013,0.9,0.43,4.30E-05,0.28,4.00,0.00,0.28,0.00,0.29,0.00,0.00,0.00,0.18,1.00,0.08,0.23,1.00,-77.2184655,36.375165,ES102014-0005,566000325EH
"329 Oak Hill Drive, Gaston, North Carolina, 27832",27832,NA,USA,-77.70346369,36.49007821,222,7.89,39.5,0.197,32,0.43,61,0.19,0.012,0.32,0.13,0.029,0.34,5.00,0.00,0.37,1.00,0.32,0.00,0.00,0.00,0.20,1.00,0.01,0.27,1.00,-77.703489,36.48987,ES103014-0047,566000325EH
