,Match_addr,County,Postal,PostalExt,Country,X,Y,>1,Pop 1 mile,Particulate Matter (PM 2.5 in ug/m3),Ozone (ppb),NATA Diesel PM (ug/m3),NATA Air Toxics Cancer Risk (risk per MM),NATA Respiratory Hazard Index,Traffic Proximity and Volume (daily traffic count/distance to road),Lead Paint Indicator (% pre-1960s housing),Superfund Proximity (site count/km distance),RMP Proximity (facility count/km distance),Hazardous Waste Proximity (facility count/km distance),Wastewater Discharge Indicators (toxicity-weighted concentration/m distance),Demographic Index,Minority Population,Low Income Population,Linguistically Isolated Population,Population with Less Than High School Education,Population under Age 5,Population over Age 64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"11438 NC-305, Seaboard, North Carolina, 27876",Northampton County,27876,9540,USA,-77.43482788,36.46739644,,53,7.75,39.4,0.183,30,0.4,0,0.32,0.012,0.06,0.059,8.80E-10,73%,85%,60%,0%,20%,6%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"335 Deloatch Mill Rd, Conway, North Carolina, 27820",Northampton County,27820,9356,USA,-77.17981275,36.4465895,,1,7.53,39.1,0.163,28,0.37,2.2,0.47,0.014,0.21,0.17,9.20E-06,36%,39%,33%,0%,26%,9%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"12795 US-158, Conway, North Carolina, 27820",Northampton County,27820,9351,USA,-77.18355729,36.44158346,,149,7.53,39.1,0.163,28,0.37,17,0.37,0.014,0.7,0.35,0.000035,0.48,0.5,0.46,0.04,0.23,0.09,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"157 Jane Ln, Pleasant Hill, North Carolina, 27866",Northampton County,27866,9685,USA,-77.51739226,36.512034,,125,7.75,39.4,0.183,30,0.4,2.6,0.32,0.011,0.097,0.093,8.20E-07,45%,56%,34%,0%,13%,0%,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"335 Deloatch Mill Rd, Conway, North Carolina, 27820",Northampton County,27820,9356,USA,-77.17981275,36.4465895,,1,7.53,39.1,0.163,28,0.37,2.2,0.47,0.014,0.21,0.17,9.20E-06,36%,39%,33%,0%,26%,9%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"902 Gumberry Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9539,USA,-77.49708112,36.44802177,,82,7.75,39.4,0.183,30,0.4,110,0.23,0.011,0.18,0.17,0.0026,89%,95%,83%,0%,30%,10%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"567 Oak Grove Church Rd, Gaston, North Carolina, 27832",Northampton County,27832,9156,USA,-77.75407406,36.52509221,,118,7.89,39.4,0.19,32,0.44,98,0.25,0.012,0.35,0.13,0.018,46%,50%,42%,0%,30%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"3471 Skippers Rd, Skippers, Virginia, 23879",Greensville County,23879,2067,USA,-77.55876592,36.63607825,,44,7.9,39.2,0.213,32,0.44,230,0.17,0.012,0.056,0.18,2.80E-06,60%,67%,54%,0%,33%,7%,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"499 Severn Rd, Margarettsville, North Carolina, 27853",Northampton County,27853,9607,USA,-77.31967501,36.51940306,,38,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"3475 Galatia Rd, Margarettsville, North Carolina, 27853",Northampton County,27853,9641,USA,-77.2479419,36.51371026,,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"263 Riverside Dr, Henrico, North Carolina, 27842",Northampton County,27842,9209,USA,-77.87800887,36.5186344,,281,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,28%,23%,33%,0%,11%,0%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"1172 Jenkins Mill Rd, Conway, North Carolina, 27820",Northampton County,27820,9661,USA,-77.2683975,36.390087,,74,7.53,39.1,0.163,28,0.37,3.1,0.044,0.012,0.14,0.13,0,48%,48%,48%,0%,4%,14%,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"283 Camp Five Trl, Gaston, North Carolina, 27832",Northampton County,27832,9072,USA,-77.79037679,36.54499131,,148,7.87,39.5,0.147,30,0.39,2.1,0.16,0.013,0.062,0.049,0.017,34%,38%,31%,0%,19%,2%,47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"3314 Galatia Rd, Margarettsville, North Carolina, 27853",Northampton County,27853,9642,USA,-77.2518354,36.51040584,,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"801 Stanley Barnes Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7101,USA,-77.10432177,36.50184319,,51,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"3530 US-158, Jackson, North Carolina, 27845",Northampton County,27845,9541,USA,-77.45984001,36.38193864,,8,7.75,39.4,0.183,30,0.4,38,0.44,0.011,0.054,0.05,0.012,72%,69%,74%,6%,24%,3%,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"135 Wrays Ct, Gaston, North Carolina, 27832",Northampton County,27832,9556,USA,-77.6857617,36.48853711,,283,7.89,39.5,0.197,32,0.43,59,0.19,0.012,0.32,0.13,0.029,34%,36%,31%,0%,19%,1%,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"861 Stanley Barnes Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7101,USA,-77.09843483,36.5033779,,51,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"745 Benthall Cook Rd, Rich Square, North Carolina, 27869",Northampton County,27869,9679,USA,-77.332545,36.224127,,101,7.46,39.3,0.147,29,0.37,0,0.63,0.012,0.066,0.051,0.00075,53%,53%,53%,0%,10%,7%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"190 Jerry Chitty Ln, Pendleton, North Carolina, 27862",Northampton County,27862,7004,USA,-77.15534504,36.49752307,,17,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"159 Wilkins Court Drive, Henrico, North Carolina, 27842",Northampton County,27842,NA,USA,-77.86692918,36.51789067,,386,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,28%,23%,33%,0%,11%,0%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"560 Sheep Pen Ln, Jackson, North Carolina, 27845",Northampton County,27845,8500,USA,-77.51386667,36.40574156,,13,7.75,39.4,0.183,30,0.4,98,0.18,0.011,0.24,0.21,0.027,65%,97%,33%,0%,22%,0%,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"861 Stanley Barnes Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7101,USA,-77.09843483,36.5033779,,51,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"166 Stanley Barnes Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7094,USA,-77.11726966,36.48845406,,57,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"3475 Galatia Rd, Margarettsville, North Carolina, 27853",Northampton County,27853,9641,USA,-77.2479419,36.51371026,,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"500 Blythe Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9482,USA,-77.59596414,36.48578078,,101,7.86,39.4,0.189,31,0.43,75,0.15,0.011,0.22,0.14,0.0019,70%,77%,62%,0%,33%,5%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"118 Lisa Cove Ln, Henrico, North Carolina, 27842",Northampton County,27842,9333,USA,-77.85736913,36.52272903,,438,7.87,39.5,0.146,30,0.39,0,0.022,0.014,0.05,0.042,0.044,28%,23%,33%,0%,11%,0%,46%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"3475 Galatia Rd, Margarettsville, North Carolina, 27853",Northampton County,27853,9641,USA,-77.2479419,36.51371026,,46,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"318 Vaughan Creek Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7051,USA,-77.17710379,36.51996761,,192,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"4285 Mount Carmel Rd, Jackson, North Carolina, 27845",Northampton County,27845,9691,USA,-77.3976735,36.419688,,77,7.54,39.1,0.164,29,0.37,5.7,0.069,0.012,0.14,0.12,0,47%,48%,47%,0%,5%,14%,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"9495 NC-305, Jackson, North Carolina, 27845",Northampton County,27845,9679,USA,-77.43567203,36.41259321,,127,7.75,39.4,0.183,30,0.4,52,0.42,0.011,0.06,0.058,0,39%,41%,36%,0%,26%,2%,52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"210 Cleveland Dr, Garysburg, North Carolina, 27831",Northampton County,27831,9437,USA,-77.61812147,36.50831391,,505,7.89,39.4,0.19,32,0.44,65,0.13,0.011,0.23,0.13,0.0017,63%,72%,55%,0%,34%,3%,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"1428 Barrett Cabin Rd, Murfreesboro, North Carolina, 27855",Northampton County,27855,9379,USA,-77.13319117,36.47232389,,56,7.48,39.1,0.158,28,0.37,1.9,0.36,0.014,0.17,0.15,7.30E-06,48%,50%,45%,1%,27%,6%,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"459 Vaughan Creek Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7061,USA,-77.17219076,36.51928565,,167,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"490 Blythe Rd, Garysburg, North Carolina, 27831",Northampton County,27831,9570,USA,-77.59637049,36.48575668,,173,7.87,39.4,0.189,32,0.43,71,0.14,0.011,0.22,0.13,0.0018,67%,75%,59%,0%,33%,4%,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"399 Willey Ln, Gaston, North Carolina, 27832",Northampton County,27832,9690,USA,-77.680964,36.490428,,140,7.89,39.4,0.191,32,0.44,93,0.24,0.012,0.34,0.13,0.02,44%,48%,40%,0%,28%,1%,28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"551 Stephenson Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7209,USA,-77.29014732,36.48932304,,26,7.53,39.1,0.163,28,0.37,0.47,0.27,0.013,0.088,0.084,3.30E-07,32%,47%,16%,0%,19%,1%,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"279 Vaughan Creek Rd, Pendleton, North Carolina, 27862",Northampton County,27862,7054,USA,-77.1778261,36.52067004,,192,7.53,39.1,0.163,28,0.37,0.08,0.28,0.015,0.13,0.12,1.30E-06,50%,38%,63%,0%,20%,4%,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"2534 Barrows Mill Rd, Jackson, North Carolina, 27845",Northampton County,27845,9537,USA,-77.5089125,36.37225053,,26,7.75,39.4,0.183,30,0.4,98,0.18,0.011,0.24,0.21,0.027,65%,97%,33%,0%,22%,0%,38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
